,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,total_energy_consumption,gpu_energy_consumption,cpu_energy_consumption,total_temp,gpu_temp,cpu_temp,cpu_utilization,kernel.cpu_time_max_percent,kernel.random.read_wakeup_threshold,kernel.random.write_wakeup_threshold,kernel.sched_cfs_bandwith_slice_us,kernel.sched_child_runs_first,kernel.sched_rr_timeslice_ms,kernel.sched_rt_period_us,kernel.sched_rt_runtime_us,kernel.timer_migration,scheduler.policy,vm.dirty_background_bytes,vm.dirty_background_ratio,vm.dirty_bytes,vm.drop_caches,vm.swappiness,vm.vfs_cache_pressure,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,alignment-faults,block:block_bio_backmerge,block:block_bio_bounce,block:block_bio_complete,block:block_bio_frontmerge,block:block_bio_queue,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_plug,block:block_rq_abort,block:block_rq_complete,block:block_rq_insert,block:block_rq_issue,block:block_rq_remap,block:block_rq_requeue,block:block_sleeprq,block:block_split,block:block_touch_buffer,block:block_unplug,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,emulation-faults,ext4:ext4_alloc_da_blocks,ext4:ext4_allocate_blocks,ext4:ext4_allocate_inode,ext4:ext4_begin_ordered_truncate,ext4:ext4_collapse_range,ext4:ext4_da_release_space,ext4:ext4_da_reserve_space,ext4:ext4_da_update_reserve_space,ext4:ext4_da_write_begin,ext4:ext4_da_write_end,ext4:ext4_da_write_pages,ext4:ext4_da_write_pages_extent,ext4:ext4_direct_IO_enter,ext4:ext4_direct_IO_exit,ext4:ext4_discard_blocks,ext4:ext4_discard_preallocations,ext4:ext4_drop_inode,ext4:ext4_es_cache_extent,ext4:ext4_es_find_delayed_extent_range_enter,ext4:ext4_es_find_delayed_extent_range_exit,ext4:ext4_es_insert_extent,ext4:ext4_es_lookup_extent_enter,ext4:ext4_es_lookup_extent_exit,ext4:ext4_es_remove_extent,ext4:ext4_es_shrink,ext4:ext4_es_shrink_count,ext4:ext4_es_shrink_scan_enter,ext4:ext4_es_shrink_scan_exit,ext4:ext4_evict_inode,ext4:ext4_ext_convert_to_initialized_enter,ext4:ext4_ext_convert_to_initialized_fastpath,ext4:ext4_ext_handle_unwritten_extents,ext4:ext4_ext_in_cache,ext4:ext4_ext_load_extent,ext4:ext4_ext_map_blocks_enter,ext4:ext4_ext_map_blocks_exit,ext4:ext4_ext_put_in_cache,ext4:ext4_ext_remove_space,ext4:ext4_ext_remove_space_done,ext4:ext4_ext_rm_idx,ext4:ext4_ext_rm_leaf,ext4:ext4_ext_show_extent,ext4:ext4_fallocate_enter,ext4:ext4_fallocate_exit,ext4:ext4_find_delalloc_range,ext4:ext4_forget,ext4:ext4_free_blocks,ext4:ext4_free_inode,ext4:ext4_get_implied_cluster_alloc_exit,ext4:ext4_get_reserved_cluster_alloc,ext4:ext4_ind_map_blocks_enter,ext4:ext4_ind_map_blocks_exit,ext4:ext4_insert_range,ext4:ext4_invalidatepage,ext4:ext4_journal_start,ext4:ext4_journal_start_reserved,ext4:ext4_journalled_invalidatepage,ext4:ext4_journalled_write_end,ext4:ext4_load_inode,ext4:ext4_load_inode_bitmap,ext4:ext4_mark_inode_dirty,ext4:ext4_mb_bitmap_load,ext4:ext4_mb_buddy_bitmap_load,ext4:ext4_mb_discard_preallocations,ext4:ext4_mb_new_group_pa,ext4:ext4_mb_new_inode_pa,ext4:ext4_mb_release_group_pa,ext4:ext4_mb_release_inode_pa,ext4:ext4_mballoc_alloc,ext4:ext4_mballoc_discard,ext4:ext4_mballoc_free,ext4:ext4_mballoc_prealloc,ext4:ext4_other_inode_update_time,ext4:ext4_punch_hole,ext4:ext4_read_block_bitmap_load,ext4:ext4_readpage,ext4:ext4_releasepage,ext4:ext4_remove_blocks,ext4:ext4_request_blocks,ext4:ext4_request_inode,ext4:ext4_sync_file_enter,ext4:ext4_sync_file_exit,ext4:ext4_sync_fs,ext4:ext4_trim_all_free,ext4:ext4_trim_extent,ext4:ext4_truncate_enter,ext4:ext4_truncate_exit,ext4:ext4_unlink_enter,ext4:ext4_unlink_exit,ext4:ext4_write_begin,ext4:ext4_write_end,ext4:ext4_writepage,ext4:ext4_writepages,ext4:ext4_writepages_result,ext4:ext4_zero_range,instructions,irq:irq_handler_entry,irq:irq_handler_exit,irq:softirq_entry,irq:softirq_exit,irq:softirq_raise,major-faults,migrations,minor-faults,raw_syscalls:sys_enter,raw_syscalls:sys_exit,sched:sched_blocked_reason,sched:sched_cpu_hotplug,sched:sched_kthread_stop,sched:sched_kthread_stop_ret,sched:sched_migrate_task,sched:sched_move_numa,sched:sched_pi_setprio,sched:sched_process_exec,sched:sched_process_exit,sched:sched_process_fork,sched:sched_process_free,sched:sched_process_wait,sched:sched_stat_blocked,sched:sched_stat_iowait,sched:sched_stat_runtime,sched:sched_stat_sleep,sched:sched_stat_wait,sched:sched_stick_numa,sched:sched_swap_numa,sched:sched_switch,sched:sched_wait_task,sched:sched_wake_idle_without_ipi,sched:sched_wakeup,sched:sched_wakeup_new,sched:sched_waking
0,0,1.5,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,46.18116176128925,934904.0,59023.75,263071.75,41152.22002095,41708.63080365001,43423.225887075,5.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,100.0,877419109.0,6714607213.25,6685694337.0,0.0,493.5,0.0,0.0,16.75,2614.0,2592.0,1.0,2103.75,412.0,0.0,0.0,2103.75,0.0,0.0,0.0,2.5,0.0,2925.0,412.25,125950027.5,3750962082.25,125960813.5,876729024.5,6706458566.0,46326.75,53702700080.5,0.0,1.0,1.0,0.0,0.75,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,457.25,349.0,19.5,5.5,5.5,474.25,3497.5,3497.5,565.5,1.75,24.5,1.75,1.75,564.5,0.0,0.0,0.0,0.0,2.25,473.25,473.25,0.0,1.0,1.0,0.0,1.0,471.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.5,10.5,0.0,0.0,0.0,19.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,16.5,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14246483761.0,26836.75,26836.75,40996.0,40996.0,41755.0,186.5,7451.75,563590.0,194128.75,191697.25,9060.0,0.0,0.0,0.0,6802.5,0.0,0.0,2425.0,2432.5,2431.5,614.0,2423.0,39171307192.0,26692442728.0,57337029480.0,2496102033136.0,10695983192.0,0.0,0.0,46326.75,0.0,0.0,65983.5,4863.0,67863.0
1,1,2051.0,0.0,1.0,1.0,0.0,0.0,345600.0,1.0,408000000.0,1.0,204000000.0,2.10058673223,34376.0,2511.333333333333,9349.0,40657.21153846668,41293.9102564,42462.5,5.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,500.0,62434801.66666666,1027229272.6666666,994739748.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.666666666666664,1.0,24958792.66666667,434299894.3333333,24946695.66666667,62489321.33333334,1047595024.3333334,2891.0,8100479920.333333,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1929787602.6666667,2367.6666666666665,2367.6666666666665,4527.0,4527.0,4597.333333333333,0.0,360.0,45353.33333333334,30153.66666666667,30011.66666666667,286.3333333333333,0.0,0.0,0.0,399.0,0.0,0.0,133.0,143.0,142.0,57.66666666666666,131.0,1511528426.6666667,0.0,7147151776.0,160013734080.0,2257756928.0,0.0,0.0,2891.0,0.0,0.0,3708.0,284.0,4712.333333333333
2,2,5.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.4287029107413333,11586.666666666664,1421.666666666667,4444.333333333333,41500.0,42083.333333333336,43500.0,5.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,100.0,27250448.33333333,679164665.3333334,665429134.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.33333333333333,1.0,18031175.0,301184514.0,17818742.333333332,27545083.33333333,699925615.0,1048.3333333333333,5746614166.666667,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.666666666666666,0.0,0.0,0.0,0.0,0.0,11.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1445114725.0,1190.6666666666667,1190.6666666666667,2279.333333333333,2279.333333333333,2306.0,0.0,131.66666666666666,22804.66666666667,22429.0,22390.66666666667,100.33333333333331,0.0,0.0,0.0,150.33333333333334,0.0,0.0,35.0,39.333333333333336,38.333333333333336,12.0,33.0,300920960.0,1561792.0,3364569184.0,43226303029.333336,436556352.0,0.0,0.0,1048.3333333333333,0.0,0.0,1418.666666666667,76.66666666666667,1673.333333333333
3,3,2054.0,0.0,1.0,1.0,0.0,0.0,345600.0,1.0,408000000.0,1.0,204000000.0,1.7679459253933334,31567.66666666667,2358.6666666666665,8941.333333333334,40579.16666666666,41176.3888889,42300.0,5.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,100.0,100.0,58581336.33333334,1004900335.0,964160057.6666666,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.333333333333336,1.0,23631933.33333333,435859623.6666667,23488594.66666667,59279246.66666666,1031882689.3333334,2777.666666666666,7841823803.666667,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.666666666666666,0.0,0.0,0.0,0.0,0.0,11.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1905687682.0,2234.0,2234.0,4320.0,4320.0,4389.0,0.0,321.0,43747.66666666666,29527.66666666667,29393.66666666667,229.0,0.0,0.0,0.0,345.0,0.0,0.0,125.0,135.0,134.0,45.66666666666666,123.0,982480032.0,272320.0,6754315445.333333,226070764224.0,2004192576.0,0.0,0.0,2777.666666666666,0.0,0.0,3532.666666666666,268.0,4449.666666666667
4,4,8.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,1.0378882884966665,24689.66666666667,2766.333333333333,9322.0,41438.8888889,41916.66666666666,43566.66666666666,5.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,500.0,41307355.66666666,767270100.6666666,735774282.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,303.3333333333333,1.0,19232547.0,336457135.6666667,19306777.33333333,42718453.333333336,788931745.0,1546.0,7304822958.666667,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,6.666666666666668,341.3333333333333,341.3333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666668,5.666666666666668,0.0,1.0,1.0,0.0,1.0,3.6666666666666665,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.666666666666666,0.0,0.0,0.0,0.0,0.0,11.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1642095339.6666667,1437.0,1437.0,3049.666666666666,3049.666666666666,3094.666666666666,0.0,227.66666666666663,32460.33333333333,25472.66666666667,25388.66666666667,111.0,0.0,0.0,0.0,258.3333333333333,0.0,0.0,75.0,85.0,84.0,21.0,73.0,566802197.3333334,355072.0,4470870656.0,96164388640.0,431823882.6666667,0.0,0.0,1546.0,0.0,0.0,2131.0,168.0,2499.0
5,5,2057.0,0.0,1.0,1.0,0.0,0.0,345600.0,1.0,408000000.0,1.0,204000000.0,1.8086673418700001,33385.0,2460.0,9730.0,40434.02777776666,41048.6111111,42180.55555556667,5.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,100.0,100.0,59070643.66666666,1009703804.6666666,969529803.6666666,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,1.0,24790324.0,425334503.0,24872238.33333333,58648871.66666666,1023254959.0,2654.6666666666665,8078711982.666667,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1881206997.0,2124.0,2124.0,4289.333333333333,4289.333333333333,4355.333333333333,0.0,325.3333333333333,43700.0,29510.0,29374.66666666667,216.33333333333331,0.0,0.0,0.0,346.0,0.0,0.0,127.0,136.33333333333334,135.33333333333334,54.33333333333334,125.0,1253456021.3333333,222037.3333333333,6653105130.666667,166033223029.33334,2021731978.6666667,0.0,0.0,2654.6666666666665,0.0,0.0,3662.333333333334,270.6666666666667,4282.0
6,6,11.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,1.0442006588,24792.0,2716.0,9270.666666666666,41394.44444443333,41972.22222223334,43472.22222223334,5.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,500.0,41854209.0,783490534.0,738667628.3333334,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,590.3333333333334,1.0,19651635.33333333,349898876.0,19456419.0,43915336.0,812628512.0,1839.0,7331961394.333333,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,32.333333333333336,666.3333333333334,666.3333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.33333333333333,31.33333333333333,0.0,1.0,1.0,0.0,1.0,29.33333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.333333333333334,0.0,0.0,0.0,0.0,0.0,11.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1687164890.0,1479.666666666667,1479.666666666667,3058.666666666666,3058.666666666666,3106.0,0.0,240.33333333333331,32438.0,25695.33333333333,25611.33333333333,120.33333333333331,0.0,0.0,0.0,266.6666666666667,0.0,0.0,75.0,85.0,84.0,21.33333333333333,73.0,484018165.3333333,564938.6666666665,4519620224.0,82020578432.0,507282922.6666667,0.0,0.0,1839.0,0.0,0.0,2554.6666666666665,168.0,2732.6666666666665
7,7,2060.0,0.0,1.0,1.0,0.0,0.0,345600.0,1.0,408000000.0,1.0,204000000.0,2.5197037061033334,38860.0,2637.333333333333,10286.0,40380.09259260001,41079.62962963333,42080.55555556667,5.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,100.0,500.0,63531536.33333334,1079836776.3333333,1040405687.0,0.0,189.0,0.0,0.0,5.666666666666668,346.0,344.33333333333326,1.0,151.33333333333334,70.66666666666667,0.0,0.0,151.33333333333334,0.0,0.0,0.0,0.0,0.0,4376.0,70.66666666666667,26420891.66666667,454360392.3333333,26508007.66666667,64913671.66666666,1102428815.3333333,3218.666666666666,8969529353.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,128.66666666666666,4851.0,4851.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,127.66666666666669,127.66666666666669,0.0,1.0,1.0,0.0,1.0,125.66666666666669,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.333333333333334,0.0,0.0,0.0,7.333333333333332,0.0,11.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2000586660.3333333,2528.6666666666665,2528.6666666666665,4922.666666666667,4922.666666666667,4991.0,7.0,374.66666666666674,46898.33333333334,30467.33333333333,30323.33333333333,263.0,0.0,0.0,0.0,422.66666666666674,0.0,0.0,135.0,145.0,144.0,56.0,133.0,1702401322.6666667,140849440.0,7594313824.0,250253629792.0,2609914496.0,0.0,0.0,3218.666666666666,0.0,0.0,4767.0,288.0,5087.666666666667
8,8,14.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,1.036697626113667,24319.33333333333,2842.666666666666,9117.333333333334,41394.44444443333,41822.22222223334,43566.66666666666,5.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,100.0,100.0,42037317.0,801726615.0,767428243.3333334,0.0,0.0,0.0,0.0,0.0,28.0,27.0,1.0,28.0,20.666666666666668,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2381.6666666666665,20.666666666666668,19872944.33333333,355037030.3333333,19918764.33333333,42725222.0,821052997.3333334,1802.666666666667,7740716482.333333,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,93.66666666666669,2632.6666666666665,2632.6666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.66666666666669,92.66666666666669,0.0,1.0,1.0,0.0,1.0,90.66666666666669,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.333333333333334,0.0,0.0,0.0,0.0,0.0,11.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1695555053.6666667,1541.666666666667,1541.666666666667,3137.666666666666,3137.666666666666,3180.333333333333,3.333333333333333,246.66666666666663,32084.0,25461.66666666667,25379.66666666667,114.66666666666669,0.0,0.0,0.0,288.6666666666667,0.0,0.0,73.0,83.0,82.0,26.33333333333333,71.0,453064192.0,27701258.66666667,4661655594.666667,82632304160.0,578495264.0,0.0,0.0,1802.666666666667,0.0,0.0,2488.333333333333,164.0,2751.333333333333
9,9,2063.0,0.0,1.0,1.0,0.0,0.0,345600.0,1.0,408000000.0,1.0,204000000.0,2.862875938413333,42368.0,2916.666666666666,12854.666666666664,40333.1908832,41031.33903136667,42064.672364699996,5.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,100.0,500.0,64787098.0,1089826763.3333333,1039079886.6666666,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,4.0,1.6666666666666667,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,367.0,1.6666666666666667,26763458.66666667,448028405.0,26657312.33333333,67506441.66666667,1113689469.3333333,3089.666666666666,9137285179.333334,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,412.66666666666674,412.66666666666674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2003100116.3333333,2396.0,2396.0,4808.0,4808.0,4880.0,0.6666666666666666,392.33333333333326,48455.33333333334,31117.66666666667,30963.66666666667,258.3333333333333,0.0,0.0,0.0,450.0,0.0,0.0,145.0,155.0,154.0,59.33333333333334,143.0,1424973333.3333333,2445632.0,7459506453.333333,200050425333.3333,3306112128.0,0.0,0.0,3089.666666666666,0.0,0.0,4111.333333333333,308.0,4842.333333333333
10,10,17.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,1.05047996839,26819.33333333333,2815.666666666666,11173.666666666664,41416.66666666666,41986.1111111,43722.22222223334,5.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,100.0,100.0,42271631.0,800667088.0,766037500.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,28.33333333333333,3.0,20806584.666666668,345248092.3333333,20662516.33333333,41793789.0,810497551.3333334,1975.666666666667,8035401939.666667,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,9.0,58.0,58.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.333333333333334,0.0,0.0,0.0,0.0,0.0,11.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1629112118.0,1609.666666666667,1609.666666666667,3109.333333333333,3109.333333333333,3156.333333333333,1.6666666666666667,270.3333333333333,31534.0,25442.33333333333,25361.66666666667,116.66666666666669,0.0,0.0,0.0,289.0,0.0,0.0,73.0,81.66666666666667,80.66666666666667,26.0,71.0,348262570.6666667,5474090.666666667,4666126058.666667,96893293568.0,857683925.3333334,0.0,0.0,1975.666666666667,0.0,0.0,2578.6666666666665,161.33333333333334,2650.333333333333
