,memory_growth,logical_devices,core_freq,gpu_freq,emc_freq,num_cores,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,total_energy_consumption,bug_id,baseline
0,0.9,1.0,1881600.0,1190400.0,2133000000.0,3.0,0.0,60.0,100.0,80.0,3.0,2.0,60,1.0,2.0,1.0,500000.0,60.0,60.0,5.0,4.0,65536.0,24000000.0,256,100.0,2000.0,80743,1,encore
0,0.5,2.0,1344000.0,1267200.0,800000000.0,4.0,0.0,60.0,500.0,10,3.0,1.0,50.0,0.0,2.0,1.0,950000.0,60.0,60.0,5,4.0,65536.0,24000000.0,128.0,50.0,1000.0,78029,2,encore
0,0.5,2.0,115200.0,1113600.0,204000000.0,2.0,0.0,100.0,100.0,10,3.0,2.0,60.0,0.0,2.0,1.0,950000.0,60.0,60.0,5,1.0,65536.0,24000000.0,256.0,50.0,1000.0,88122,3,encore
0,0.9,2.0,2265600.0,268800.0,1065600000.0,3.0,0.0,60.0,100.0,10.0,3.0,1.0,60,0.0,2.0,1.0,950000.0,60.0,30.0,5.0,4.0,32768.0,24000000.0,256,100.0,2000.0,80428,4,encore
0,0.5,2.0,2265600.0,1728000.0,204000000.0,2.0,0.0,100.0,500.0,10,0.0,2.0,60.0,0.0,1.0,0.0,500000.0,30.0,30.0,5,4.0,32768.0,24000000.0,256.0,100.0,1000.0,78306,5,encore
0,0.9,2.0,1113600.0,1420800.0,600000000.0,3.0,0.0,100.0,100.0,10,3.0,2.0,50.0,0.0,1.0,1.0,950000.0,30.0,30.0,5,4.0,32768.0,96000000.0,128.0,50.0,1000.0,86667,6,encore
0,0.5,1.0,729600.0,2265600.0,800000000.0,4.0,0.0,100.0,100.0,10.0,3.0,2.0,60.0,1,1,0.0,950000.0,60.0,30.0,50.0,1.0,65536.0,96000000.0,256.0,100.0,1000.0,67589,7,encore
0,0.9,2.0,192000.0,883200.0,800000000.0,2.0,0.0,60.0,100.0,80.0,3.0,2.0,60,1.0,2.0,1.0,950000.0,30.0,60.0,5.0,4.0,65536.0,24000000.0,256,50.0,2000.0,81806,8,encore
0,0.9,2.0,422400.0,345600.0,1065600000.0,2.0,0.0,60.0,100.0,10,3.0,2.0,60.0,1.0,1.0,1.0,950000.0,60.0,60.0,5,1.0,65536.0,24000000.0,128.0,50.0,1000.0,86553,9,encore
0,0.5,2.0,729600.0,1728000.0,408000000.0,1.0,1.0,100.0,500.0,10,3.0,1.0,60.0,1.0,1.0,0.0,950000.0,60.0,60.0,5,4.0,65536.0,96000000.0,128.0,50.0,2000.0,74445,10,encore
0,0.5,1.0,960000.0,2112000.0,1866000000.0,2.0,1.0,60.0,100.0,10.0,0.0,1.0,60,0.0,2.0,1.0,950000.0,60.0,30.0,50.0,4.0,65536.0,96000000.0,256,100.0,1000.0,80846,11,encore
0,0.9,2.0,1036800.0,422400.0,665600000.0,2.0,0.0,100.0,500.0,10,3.0,2.0,60.0,1.0,2.0,1.0,950000.0,60.0,30.0,5,1.0,65536.0,24000000.0,256.0,50.0,2000.0,84423,12,encore
0,0.9,1.0,729600.0,1190400.0,2133000000.0,2.0,0.0,60.0,500.0,10.0,3.0,2.0,60,0.0,2.0,1.0,500000.0,30.0,60.0,50.0,1.0,65536.0,24000000.0,256,100.0,2000.0,73807,13,encore
