,Unnamed: 0,Unnamed: 0.1,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,total_energy_consumption,gpu_energy_consumption,cpu_energy_consumption,total_temp,gpu_temp,cpu_temp,cpu_utilization,kernel.cpu_time_max_percent,kernel.random.read_wakeup_threshold,kernel.random.write_wakeup_threshold,kernel.sched_cfs_bandwith_slice_us,kernel.sched_child_runs_first,kernel.sched_rr_timeslice_ms,kernel.sched_rt_period_us,kernel.sched_rt_runtime_us,kernel.timer_migration,scheduler.policy,vm.dirty_background_bytes,vm.dirty_background_ratio,vm.dirty_bytes,vm.drop_caches,vm.swappiness,vm.vfs_cache_pressure,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,alignment-faults,block:block_bio_backmerge,block:block_bio_bounce,block:block_bio_complete,block:block_bio_frontmerge,block:block_bio_queue,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_plug,block:block_rq_abort,block:block_rq_complete,block:block_rq_insert,block:block_rq_issue,block:block_rq_remap,block:block_rq_requeue,block:block_sleeprq,block:block_split,block:block_touch_buffer,block:block_unplug,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,emulation-faults,ext4:ext4_alloc_da_blocks,ext4:ext4_allocate_blocks,ext4:ext4_allocate_inode,ext4:ext4_begin_ordered_truncate,ext4:ext4_collapse_range,ext4:ext4_da_release_space,ext4:ext4_da_reserve_space,ext4:ext4_da_update_reserve_space,ext4:ext4_da_write_begin,ext4:ext4_da_write_end,ext4:ext4_da_write_pages,ext4:ext4_da_write_pages_extent,ext4:ext4_direct_IO_enter,ext4:ext4_direct_IO_exit,ext4:ext4_discard_blocks,ext4:ext4_discard_preallocations,ext4:ext4_drop_inode,ext4:ext4_es_cache_extent,ext4:ext4_es_find_delayed_extent_range_enter,ext4:ext4_es_find_delayed_extent_range_exit,ext4:ext4_es_insert_extent,ext4:ext4_es_lookup_extent_enter,ext4:ext4_es_lookup_extent_exit,ext4:ext4_es_remove_extent,ext4:ext4_es_shrink,ext4:ext4_es_shrink_count,ext4:ext4_es_shrink_scan_enter,ext4:ext4_es_shrink_scan_exit,ext4:ext4_evict_inode,ext4:ext4_ext_convert_to_initialized_enter,ext4:ext4_ext_convert_to_initialized_fastpath,ext4:ext4_ext_handle_unwritten_extents,ext4:ext4_ext_in_cache,ext4:ext4_ext_load_extent,ext4:ext4_ext_map_blocks_enter,ext4:ext4_ext_map_blocks_exit,ext4:ext4_ext_put_in_cache,ext4:ext4_ext_remove_space,ext4:ext4_ext_remove_space_done,ext4:ext4_ext_rm_idx,ext4:ext4_ext_rm_leaf,ext4:ext4_ext_show_extent,ext4:ext4_fallocate_enter,ext4:ext4_fallocate_exit,ext4:ext4_find_delalloc_range,ext4:ext4_forget,ext4:ext4_free_blocks,ext4:ext4_free_inode,ext4:ext4_get_implied_cluster_alloc_exit,ext4:ext4_get_reserved_cluster_alloc,ext4:ext4_ind_map_blocks_enter,ext4:ext4_ind_map_blocks_exit,ext4:ext4_insert_range,ext4:ext4_invalidatepage,ext4:ext4_journal_start,ext4:ext4_journal_start_reserved,ext4:ext4_journalled_invalidatepage,ext4:ext4_journalled_write_end,ext4:ext4_load_inode,ext4:ext4_load_inode_bitmap,ext4:ext4_mark_inode_dirty,ext4:ext4_mb_bitmap_load,ext4:ext4_mb_buddy_bitmap_load,ext4:ext4_mb_discard_preallocations,ext4:ext4_mb_new_group_pa,ext4:ext4_mb_new_inode_pa,ext4:ext4_mb_release_group_pa,ext4:ext4_mb_release_inode_pa,ext4:ext4_mballoc_alloc,ext4:ext4_mballoc_discard,ext4:ext4_mballoc_free,ext4:ext4_mballoc_prealloc,ext4:ext4_other_inode_update_time,ext4:ext4_punch_hole,ext4:ext4_read_block_bitmap_load,ext4:ext4_readpage,ext4:ext4_releasepage,ext4:ext4_remove_blocks,ext4:ext4_request_blocks,ext4:ext4_request_inode,ext4:ext4_sync_file_enter,ext4:ext4_sync_file_exit,ext4:ext4_sync_fs,ext4:ext4_trim_all_free,ext4:ext4_trim_extent,ext4:ext4_truncate_enter,ext4:ext4_truncate_exit,ext4:ext4_unlink_enter,ext4:ext4_unlink_exit,ext4:ext4_write_begin,ext4:ext4_write_end,ext4:ext4_writepage,ext4:ext4_writepages,ext4:ext4_writepages_result,ext4:ext4_zero_range,instructions,irq:irq_handler_entry,irq:irq_handler_exit,irq:softirq_entry,irq:softirq_exit,irq:softirq_raise,major-faults,migrations,minor-faults,raw_syscalls:sys_enter,raw_syscalls:sys_exit,sched:sched_blocked_reason,sched:sched_cpu_hotplug,sched:sched_kthread_stop,sched:sched_kthread_stop_ret,sched:sched_migrate_task,sched:sched_move_numa,sched:sched_pi_setprio,sched:sched_process_exec,sched:sched_process_exit,sched:sched_process_fork,sched:sched_process_free,sched:sched_process_wait,sched:sched_stat_blocked,sched:sched_stat_iowait,sched:sched_stat_runtime,sched:sched_stat_sleep,sched:sched_stat_wait,sched:sched_stick_numa,sched:sched_swap_numa,sched:sched_switch,sched:sched_wait_task,sched:sched_wake_idle_without_ipi,sched:sched_wakeup,sched:sched_wakeup_new,sched:sched_waking
0,1.5,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,5.9019035696955,164966.25,18915.0,69967.25,39580.578512399996,40490.358126725,41790.289256200005,80.75,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,100.0,153642233.5,1561589279.5,1538667154.75,0.0,0.0,0.0,0.0,0.0,1.25,1.25,1.0,1.25,1.25,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,63.25,1.25,41250628.25,808504664.5,41518211.25,150096059.75,1587531431.0,6888.75,24613012176.75,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.25,85.75,85.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,2.25,0.0,1.0,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3317311608.5,4584.75,4584.75,9400.5,9400.5,9598.25,0.25,1193.0,105763.5,49193.5,48792.5,338.25,0.0,0.0,0.0,1160.0,0.0,0.0,395.5,402.0,401.0,161.25,393.5,2501194504.0,2739696.0,13450825128.0,467141734600.0,2990958728.0,0.0,0.0,6888.75,0.0,0.0,9337.25,802.0,10190.5
1,5.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.39782770474766666,12386.0,1573.3333333333333,4496.0,39333.333333333336,40416.666666666664,41583.333333333336,87.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,100.0,26261334.333333332,662482105.3333334,629737774.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,17038402.666666668,284061543.6666667,17105388.666666668,27095422.0,682517964.3333334,860.6666666666666,5596580311.333333,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.666666666666666,0.0,0.0,0.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1463490996.6666667,1012.6666666666666,1012.6666666666666,2161.3333333333335,2161.3333333333335,2187.6666666666665,0.0,113.66666666666667,23401.666666666668,22530.333333333332,22489.333333333332,61.666666666666664,0.0,0.0,0.0,134.0,0.0,0.0,37.0,42.0,41.0,10.0,35.0,260079413.33333334,1351274.6666666667,3273947722.6666665,32637411200.0,261912490.66666666,0.0,0.0,860.6666666666666,0.0,0.0,1179.3333333333333,82.0,1475.6666666666667
2,8.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.4013839562733333,10964.333333333334,1396.0,4089.3333333333335,39479.166666666664,40375.0,41541.666666666664,81.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,500.0,26595786.666666668,674983759.3333334,639002998.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.666666666666664,1.0,16753525.666666666,285710240.6666667,16609367.333333334,28004730.333333332,692678660.3333334,950.6666666666666,5660132949.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.666666666666666,0.0,0.0,0.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1478278882.3333333,1070.0,1070.0,2261.6666666666665,2261.6666666666665,2293.3333333333335,0.0,112.0,23632.0,22694.666666666668,22651.666666666668,59.666666666666664,0.0,0.0,0.0,133.66666666666666,0.0,0.0,39.0,44.0,43.0,13.666666666666666,37.0,159176650.66666666,640000.0,3372819381.3333335,32141953077.333332,262880085.33333334,0.0,0.0,950.6666666666666,0.0,0.0,1269.6666666666667,86.0,1564.3333333333333
3,11.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.38900494575533334,9427.333333333334,1270.0,3530.6666666666665,39583.333333333336,40500.0,41916.666666666664,90.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,500.0,27397798.666666668,680002751.0,655349727.6666666,0.0,0.0,0.0,0.0,0.0,3.0,3.0,35.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,146.0,3.0,18460262.0,290832720.3333333,18651269.0,27631086.0,698318224.0,838.6666666666666,5760088517.0,0.0,3.0,3.0,4.666666666666667,5.666666666666667,0.0,0.6666666666666666,4.333333333333333,3.0,33.666666666666664,33.666666666666664,6.0,3.0,0.0,0.0,0.0,16.0,4.666666666666667,0.0,3.6666666666666665,3.6666666666666665,11.0,70.66666666666667,70.66666666666667,10.333333333333334,0.0,0.0,0.0,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,6.666666666666667,6.666666666666667,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,4.666666666666667,0.0,3.0,0.0,0.0,0.0,4.333333333333333,99.33333333333333,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.3333333333333333,4.333333333333333,3.0,3.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.666666666666667,4.666666666666667,0.0,0.0,0.0,3.0,3.0,0.0,1467420347.0,1027.6666666666667,1027.6666666666667,2211.3333333333335,2211.3333333333335,2244.0,0.0,112.33333333333333,23912.333333333332,23371.0,23331.333333333332,63.0,0.0,0.0,0.0,126.33333333333333,0.0,0.0,37.0,41.333333333333336,40.333333333333336,11.666666666666666,35.0,145670218.66666666,733002.6666666666,3381406709.3333335,101085668117.33333,284717077.3333333,0.0,0.0,838.6666666666666,0.0,0.0,1136.0,80.66666666666667,1444.6666666666667
4,14.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.387201388677,12173.0,1573.6666666666667,4445.333333333333,39500.0,40305.55555556667,41541.666666666664,77.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,100.0,100.0,31976948.333333332,718518306.3333334,691358561.3333334,0.0,0.0,0.0,0.0,0.0,4.0,4.0,52.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,208.0,4.0,18622397.0,331283171.6666667,18602455.333333332,32910068.333333332,738845316.3333334,1076.0,6235395820.0,0.0,4.0,4.0,7.0,8.0,0.0,1.0,6.0,4.0,50.0,50.0,8.0,4.0,0.0,0.0,0.0,23.0,7.0,0.0,5.0,5.0,15.0,81.0,81.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,6.0,145.33333333333334,0.0,0.0,0.0,0.0,0.0,141.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,4.0,4.0,0.0,1581505791.6666667,1184.0,1184.0,2432.3333333333335,2432.3333333333335,2463.0,0.0,145.33333333333334,28047.333333333332,24790.0,24737.333333333332,95.33333333333333,0.0,0.0,0.0,169.33333333333334,0.0,0.0,49.0,54.666666666666664,53.666666666666664,14.333333333333334,47.0,591958314.6666666,0.0,3784954912.0,51240067968.0,271551562.6666667,0.0,0.0,1076.0,0.0,0.0,1572.6666666666667,107.33333333333333,1882.3333333333333
5,17.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.4800942738853333,12245.666666666666,1446.3333333333333,5307.333333333333,39777.77777776666,40388.88888886666,42111.11111113334,68.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,100.0,100.0,30084906.0,763682350.6666666,733652838.6666666,0.0,0.3333333333333333,0.0,0.0,0.0,8.333333333333334,8.333333333333334,52.0,8.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,780.3333333333334,6.0,22415997.333333332,327261047.6666667,22316488.666666668,31647129.666666668,757379776.0,1467.6666666666667,7176280695.0,0.0,4.0,4.0,7.0,8.0,0.0,1.0,6.0,4.0,50.0,50.0,8.0,4.0,0.0,0.0,0.0,23.0,7.0,0.0,5.0,5.0,53.666666666666664,728.3333333333334,728.3333333333334,15.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,47.666666666666664,47.666666666666664,0.0,7.0,7.0,0.0,7.0,38.666666666666664,0.0,0.0,0.0,0.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,6.0,145.66666666666666,0.0,0.0,0.0,0.0,0.0,141.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,4.0,4.0,0.0,1507086483.6666667,1726.3333333333333,1726.3333333333333,2632.3333333333335,2632.3333333333335,2664.3333333333335,2.3333333333333335,146.33333333333334,26880.0,24412.666666666668,24365.333333333332,83.66666666666667,0.0,0.0,0.0,154.66666666666666,0.0,0.0,45.0,49.333333333333336,48.333333333333336,18.666666666666668,43.0,379399061.3333333,11154709.333333334,4150389109.3333335,36369532800.0,959658805.3333334,0.0,0.0,1467.6666666666667,0.0,0.0,1771.3333333333333,96.66666666666667,2046.6666666666667
6,20.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.4962933858233334,11586.666666666666,1548.6666666666667,4596.333333333333,39750.0,40694.44444443333,42055.55555556667,91.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,100.0,500.0,31299074.666666668,738209201.3333334,701073888.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,52.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,674.0,4.0,19625977.666666668,319023945.3333333,19698086.0,33037865.333333332,749669218.3333334,1443.3333333333333,6872184643.0,0.0,4.0,4.0,7.0,8.0,0.0,1.0,6.0,4.0,50.0,50.0,8.0,4.0,0.0,0.0,0.0,23.0,7.0,0.0,5.0,5.0,25.666666666666668,598.0,598.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,19.666666666666668,19.666666666666668,0.0,7.0,7.0,0.0,7.0,10.666666666666666,0.0,0.0,0.0,0.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,6.0,145.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,4.0,4.0,0.0,1543371412.6666667,1471.6666666666667,1471.6666666666667,2540.3333333333335,2540.3333333333335,2571.3333333333335,0.0,128.66666666666666,26704.666666666668,24538.333333333332,24490.0,69.0,0.0,0.0,0.0,162.0,0.0,0.0,45.0,50.333333333333336,49.333333333333336,15.0,43.0,345944405.3333333,1165952.0,3999662965.3333335,54016861813.333336,534334378.6666667,0.0,0.0,1443.3333333333333,0.0,0.0,1676.0,98.66666666666667,1973.6666666666667
7,23.0,0.0,1.0,0.0,1.0,1.0,2035200.0,1.0,854250000.0,1.0,204000000.0,0.39175367355333335,11066.666666666666,1447.0,4064.0,39833.333333333336,40750.0,42000.0,76.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,100.0,500.0,29474652.0,703712222.0,676943830.3333334,0.0,0.0,0.0,0.0,0.0,4.0,4.0,52.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,207.33333333333334,4.0,19947497.666666668,309979191.0,20215030.666666668,30069452.333333332,720192566.0,952.6666666666666,6156148725.0,0.0,4.0,4.0,7.0,8.0,0.0,1.0,6.0,4.0,50.0,50.0,8.0,4.0,0.0,0.0,0.0,23.0,7.0,0.0,5.0,5.0,15.0,81.0,81.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,6.0,143.33333333333334,0.0,0.0,0.0,0.0,0.0,139.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,4.0,4.0,0.0,1499459013.6666667,1162.3333333333333,1162.3333333333333,2442.3333333333335,2442.3333333333335,2473.0,0.0,119.66666666666667,25775.0,24130.666666666668,24087.666666666668,85.33333333333333,0.0,0.0,0.0,149.33333333333334,0.0,0.0,41.0,45.0,44.0,14.0,39.0,377779168.0,0.0,3677954325.3333335,47606457653.333336,356258709.3333333,0.0,0.0,952.6666666666666,0.0,0.0,1253.3333333333333,88.0,1604.6666666666667
8,26.0,0.0,1.0,1.0,0.0,1.0,1728000.0,1.0,854250000.0,1.0,1062400000.0,0.1608281930286667,11074.333333333334,1319.3333333333333,3985.3333333333335,39916.666666666664,41416.666666666664,42250.0,74.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,100.0,25783699.666666668,641903697.6666666,623349646.3333334,0.0,0.0,0.0,0.0,0.0,4.0,4.0,52.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,202.66666666666666,4.0,17496590.0,290069767.6666667,17569754.0,26584738.0,643580133.6666666,1006.3333333333334,3078302549.6666665,0.0,4.0,4.0,7.0,8.0,0.0,1.0,6.0,4.0,50.0,50.0,8.0,4.0,0.0,0.0,0.0,23.0,7.0,0.0,5.0,5.0,15.0,81.0,81.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,6.0,142.33333333333334,0.0,0.0,0.0,0.0,0.0,138.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,4.0,4.0,0.0,1427542660.6666667,1036.0,1036.0,1355.3333333333333,1355.3333333333333,1387.0,0.0,84.0,24268.333333333332,23504.0,23467.333333333332,69.0,0.0,0.0,0.0,74.0,0.0,0.0,35.0,38.666666666666664,37.666666666666664,9.333333333333334,33.0,101997184.0,4403733.333333333,1890396341.3333333,21887702048.0,197370026.66666666,0.0,0.0,1006.3333333333334,0.0,0.0,1365.6666666666667,75.33333333333333,1540.3333333333333
9,29.0,0.0,1.0,1.0,0.0,1.0,1728000.0,1.0,854250000.0,1.0,1062400000.0,0.15868298212700002,11277.666666666666,1268.6666666666667,4340.333333333333,40125.0,41500.0,42333.333333333336,77.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,100.0,24953222.666666668,620131507.6666666,613084755.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,52.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,205.0,4.0,17809705.0,301115329.3333333,17653242.0,26267350.0,642224952.0,793.6666666666666,3089790292.6666665,0.0,4.0,4.0,7.0,8.0,0.0,1.0,6.0,4.0,50.0,50.0,8.0,4.0,0.0,0.0,0.0,23.0,7.0,0.0,5.0,5.0,15.0,81.0,81.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,6.0,141.66666666666666,0.0,0.0,0.0,0.0,0.0,137.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,4.0,4.0,0.0,1441055890.3333333,661.6666666666666,661.6666666666666,1414.3333333333333,1414.3333333333333,1448.6666666666667,0.0,94.33333333333333,24591.666666666668,23599.0,23560.0,47.666666666666664,0.0,0.0,0.0,100.33333333333333,0.0,0.0,37.0,41.0,40.0,11.0,35.0,59924661.333333336,0.0,1827493504.0,18339197141.333332,163695605.33333334,0.0,0.0,793.6666666666666,0.0,0.0,957.0,80.0,1104.0
10,32.0,0.0,1.0,1.0,0.0,1.0,1728000.0,1.0,854250000.0,1.0,1062400000.0,0.14373135566733333,10009.666666666666,1268.6666666666667,3122.6666666666665,40416.666666666664,41416.666666666664,42000.0,69.0,25.0,64.0,896.0,5000.0,0.0,25.0,1000000.0,950000.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,500.0,25824371.666666668,634069381.0,611131275.0,0.0,0.3333333333333333,0.0,0.0,0.0,4.0,4.0,52.0,3.6666666666666665,3.6666666666666665,0.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,201.66666666666666,3.6666666666666665,18278019.0,293490841.6666667,18098882.0,27193675.333333332,641942768.6666666,712.6666666666666,2948984622.6666665,0.0,4.0,4.0,7.0,8.0,0.0,1.0,6.0,4.0,50.0,50.0,8.0,4.0,0.0,0.0,0.0,23.0,7.0,0.0,5.0,5.0,15.0,81.0,81.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,6.0,141.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,4.0,4.0,0.0,1412156308.3333333,620.6666666666666,620.6666666666666,1349.0,1349.0,1378.6666666666667,0.0,90.0,24589.333333333332,23610.333333333332,23571.333333333332,43.333333333333336,0.0,0.0,0.0,94.0,0.0,0.0,37.0,41.0,40.0,10.0,35.0,164776394.66666666,0.0,1816575402.6666667,24681541034.666668,88193578.66666667,0.0,0.0,712.6666666666666,0.0,0.0,924.6666666666666,80.0,1109.6666666666667
